PassengerId,Survived,Pclass,SibSp,Parch,Ticket,Fare,Embarked,Deck
1,0,3,1,0,523,7.25,2,2
2,1,1,1,0,596,71.2833,0,2
3,1,3,0,0,669,7.925,2,2
4,1,1,1,0,49,53.1,2,2
5,0,3,0,0,472,8.05,2,2
6,0,3,0,0,275,8.4583,1,2
7,0,1,0,0,85,51.8625,2,4
8,0,3,3,1,395,21.075,2,2
9,1,3,0,2,344,11.1333,2,2
10,1,2,1,0,132,30.0708,0,2
11,1,3,1,1,616,16.7,2,6
12,1,1,0,0,38,26.55,2,2
13,0,3,0,0,535,8.05,2,2
14,0,3,1,5,333,31.275,2,2
15,0,3,0,0,413,7.8542,2,2
16,1,2,0,0,153,16.0,2,2
17,0,3,4,1,480,29.125,1,2
18,1,2,0,0,151,13.0,2,2
19,0,3,1,0,301,18.0,2,2
20,1,3,0,0,184,7.225,0,2
21,0,2,0,0,139,26.0,2,2
22,1,2,0,0,152,13.0,2,3
23,1,3,0,0,278,8.0292,1,2
24,1,1,0,0,42,35.5,2,0
25,0,3,3,1,395,21.075,2,2
26,1,3,1,5,329,31.3875,2,2
27,0,3,0,0,179,7.225,0,2
28,0,1,3,2,95,263.0,2,2
29,1,3,0,0,283,7.8792,1,2
30,0,3,0,0,362,7.8958,2,2
31,0,1,0,0,598,27.7208,0,2
32,1,1,1,0,586,146.5208,0,1
33,1,3,0,0,288,7.75,1,2
34,0,2,0,0,549,10.5,2,2
35,0,1,1,0,600,82.1708,0,2
36,0,1,1,0,43,52.0,2,2
37,1,3,0,0,202,7.2292,0,2
38,0,3,0,0,514,8.05,2,2
39,0,3,2,0,302,18.0,2,2
40,1,3,1,0,186,11.2417,0,2
41,0,3,1,0,507,9.475,2,2
42,0,2,1,0,53,21.0,2,2
43,0,3,0,0,391,7.8958,0,2
44,1,2,1,2,634,41.5792,0,2
45,1,3,0,0,282,7.8792,1,2
46,0,3,0,0,617,8.05,2,2
47,0,3,1,0,462,15.5,1,2
48,1,3,0,0,76,7.75,1,2
49,0,3,2,0,190,21.6792,0,2
50,0,3,1,0,377,17.8,2,2
51,0,3,4,1,249,39.6875,2,2
52,0,3,0,0,522,7.8,2,2
53,1,1,1,0,587,76.7292,0,3
54,1,2,1,0,239,26.0,2,2
55,0,1,0,1,29,61.9792,0,1
56,1,1,0,0,94,35.5,2,2
57,1,2,0,0,555,10.5,2,2
58,0,3,0,0,215,7.2292,0,2
59,1,2,1,2,561,27.75,2,2
60,0,3,5,2,566,46.9,2,2
61,0,3,0,0,197,7.2292,0,2
62,1,1,0,0,32,80.0,2,1
63,0,1,1,0,457,83.475,2,2
64,0,3,3,2,337,27.9,2,2
65,0,1,0,0,601,27.7208,0,2
66,1,3,1,1,189,15.2458,0,2
67,1,2,0,0,553,10.5,2,5
68,0,3,0,0,623,8.1583,2,2
69,1,3,4,2,248,7.925,2,2
70,0,3,2,0,270,8.6625,2,2
71,0,2,0,0,557,10.5,2,2
72,0,3,5,2,566,46.9,2,2
73,0,2,0,0,621,73.5,2,2
74,0,3,1,0,204,14.4542,0,2
75,1,3,0,0,80,56.4958,2,2
76,0,3,0,0,347,7.65,2,5
77,0,3,0,0,355,7.8958,2,2
78,0,3,0,0,473,8.05,2,2
79,1,2,0,2,158,29.0,2,2
80,1,3,0,0,432,12.475,2,2
81,0,3,0,0,304,9.0,2,2
82,1,3,0,0,311,9.5,2,2
83,1,3,0,0,280,7.7875,1,2
84,0,1,0,0,25,47.1,2,2
85,1,2,0,0,637,10.5,2,2
86,1,3,3,0,247,15.85,2,2
87,0,3,1,3,676,34.375,2,2
88,0,3,0,0,652,8.05,2,2
89,1,1,3,2,95,263.0,2,2
90,0,3,0,0,297,8.05,2,2
91,0,3,0,0,298,8.05,2,2
92,0,3,0,0,341,7.8542,2,2
93,0,1,1,0,678,61.175,2,4
94,0,3,1,2,548,20.575,2,2
95,0,3,0,0,428,7.25,2,2
96,0,3,0,0,475,8.05,2,2
97,0,1,0,0,607,34.6542,0,0
98,1,1,0,1,612,63.3583,0,3
99,1,2,0,1,117,23.0,2,2
100,0,2,1,0,150,26.0,2,2
101,0,3,0,0,384,7.8958,2,2
102,0,3,0,0,361,7.8958,2,2
103,0,1,0,1,417,77.2875,2,3
104,0,3,0,0,505,8.6542,2,2
105,0,3,2,0,245,7.925,2,2
106,0,3,0,0,354,7.8958,2,2
107,1,3,0,0,296,7.65,2,2
108,1,3,0,0,254,7.775,2,2
109,0,3,0,0,388,7.8958,2,2
110,1,3,1,0,469,24.15,1,2
111,0,1,0,0,2,52.0,2,2
112,0,3,1,0,193,14.4542,0,2
113,0,3,0,0,274,8.05,2,2
114,0,3,1,0,491,9.825,2,2
115,0,3,0,0,176,14.4583,0,2
116,0,3,0,0,666,7.925,2,2
117,0,3,0,0,460,7.75,1,2
118,0,2,1,0,53,21.0,2,2
119,0,1,0,1,585,247.5208,0,1
120,0,3,4,2,333,31.275,2,2
121,0,2,2,0,621,73.5,2,2
122,0,3,0,0,540,8.05,2,2
123,0,2,1,0,132,30.0708,0,2
124,1,2,0,0,219,13.0,2,4
125,0,1,0,1,417,77.2875,2,3
126,1,3,1,0,186,11.2417,0,2
127,0,3,0,0,463,7.75,1,2
128,1,3,0,0,541,7.1417,2,2
129,1,3,1,1,196,22.3583,0,5
130,0,3,0,0,318,6.975,2,2
131,0,3,0,0,380,7.8958,0,2
132,0,3,0,0,640,7.05,2,2
133,0,3,1,0,537,14.5,2,2
134,1,2,1,0,111,26.0,2,2
135,0,2,0,0,552,13.0,2,2
136,0,2,0,0,630,15.0458,0,2
137,1,1,0,2,55,26.2833,2,3
138,0,1,1,0,49,53.1,2,2
139,0,3,0,0,504,9.2167,2,2
140,0,1,0,0,592,79.2,0,1
141,0,3,0,2,203,15.2458,0,2
142,1,3,0,0,332,7.75,2,2
143,1,3,1,0,668,15.85,2,2
144,0,3,0,0,438,6.75,1,2
145,0,2,0,0,118,11.5,2,2
146,0,2,1,1,558,36.75,2,2
147,1,3,0,0,405,7.7958,2,2
148,0,3,2,2,676,34.375,2,2
149,0,2,0,2,113,26.0,2,5
150,0,2,0,0,147,13.0,2,2
151,0,2,0,0,622,12.525,2,2
152,1,1,1,0,36,66.6,2,2
153,0,3,0,0,516,8.05,2,2
154,0,3,0,2,538,14.5,2,2
155,0,3,0,0,573,7.3125,2,2
156,0,1,0,1,595,61.3792,0,2
157,1,3,0,0,418,7.7333,1,2
158,0,3,0,0,654,8.05,2,2
159,0,3,0,0,258,8.6625,2,2
160,0,3,8,2,568,69.55,2,2
161,0,3,0,1,470,16.1,2,2
162,1,2,0,0,559,15.75,2,2
163,0,3,0,0,323,7.775,2,2
